광고그룹 ID,상품 ID,소재 입찰가,노출상품명
grp-a001-02-000000021807497,5623464128.0,190.0,커피숍 무료로고
grp-a001-02-000000021807496,5623464128.0,190.0,디저트카페 사이트
grp-a001-02-000000021807523,5623464128.0,190.0,우녹스오븐 마크사
grp-a001-02-000000021807511,5623464128.0,190.0,CAFE 브랜드로고
grp-a001-02-000000009335164,5252296282.0,190.0,방문포장 돈버는방법 음식점 무드등 루미사인
grp-a001-02-000000021854519,5252296282.0,190.0,방문포장 돈버는방법 전주한옥마을맛집 LED거실등 루미사인
grp-a001-02-000000021807519,5252296282.0,190.0,방문포장 돈버는방법 식당 LED등 루미사인
grp-a001-02-000000021807501,5252296282.0,190.0,방문포장 소자본창업 메밀막국수 국산LED거실등 루미사인
grp-a001-02-000000021807488,5252296282.0,190.0,치킨 테이크아웃 비빔국수양념장 LED등 루미사인
grp-a001-02-000000021807497,5252296282.0,190.0,방문포장 돈많이버는직업 감자탕맛집 식탁조명 루미사인
grp-a001-02-000000021807496,5252296282.0,190.0,치킨 샐러드박스 비빔국수양념장 현관센서등 루미사인
grp-a001-02-000000021807523,5252296282.0,190.0,치킨 브런치카페 한정식 LED거실등 루미사인
grp-a001-02-000000021807511,5252296282.0,190.0,방문포장 테이크아웃 전주한옥마을맛집 LED스트립 루미사인
grp-a001-02-000000009335164,5236037509.0,190.0,벽메뉴판 강화가볼만한곳 간판만들기
grp-a001-02-000000021854519,5236037509.0,190.0,테이크아웃간판 TAKEOUT 네온사인주문제작
grp-a001-02-000000021807519,5236037509.0,190.0,벽메뉴판 서울가볼만한곳 마스크착용안내문
grp-a001-02-000000021807501,5236037509.0,190.0,벽메뉴판 경기가볼만한곳 로고만들기
grp-a001-02-000000021807488,5236037509.0,190.0,벽메뉴판 강화가볼만한곳 LED등
grp-a001-02-000000021807497,5236037509.0,190.0,테이크아웃간판 경기도가볼만한곳 LED모듈
